id,frequency,monetary,recency,dt_customer
1402,24,1253,1,2012-09-11
10629,17,109,25,2012-09-14
6312,37,863,29,2013-03-17
8132,31,661,88,2013-04-05
1050,10,65,58,2014-04-30
5846,10,13,68,2012-12-19
1859,24,1890,34,2012-08-27
7503,26,2209,40,2012-10-12
10401,7,18,12,2013-09-04
1618,29,692,9,2013-01-02
3332,20,165,87,2012-08-29
2261,11,16,5,2013-06-23
5346,16,79,87,2013-07-03
4119,14,318,56,2013-05-11
535,28,778,18,2014-02-25
5268,14,56,95,2013-08-11
273,20,151,48,2013-07-16
4452,24,372,3,2014-05-28
8504,21,1366,70,2014-05-12
771,12,194,79,2014-01-21
8996,38,603,4,2012-11-19
9235,11,18,45,2014-05-27
5798,16,985,87,2013-11-23
11178,12,32,69,2014-03-23
2230,15,43,84,2014-05-24
7516,12,45,30,2014-05-22
7247,28,606,72,2012-11-22
11100,14,63,37,2013-04-11
4646,27,978,44,2013-12-01
3037,21,410,32,2013-06-20
1473,15,72,0,2013-07-23
1016,13,55,43,2014-03-30
4518,32,1169,59,2013-04-20
9370,20,1120,68,2013-05-17
8908,21,1097,35,2014-05-08
8373,10,29,94,2013-12-10
7533,20,187,15,2013-09-24
2683,32,910,56,2013-02-02
3629,16,145,17,2012-12-19
10991,16,850,18,2012-12-07
5077,27,969,46,2013-11-02
7431,26,1820,40,2012-11-10
3267,26,608,27,2014-06-25
999,28,730,95,2013-01-02
9215,28,551,19,2012-12-12
2286,14,114,27,2013-09-10
1592,16,1724,25,2014-01-24
367,29,577,74,2013-02-19
5234,12,81,85,2013-07-11
9862,13,33,37,2013-11-14
9805,26,660,65,2013-06-20
6205,14,80,13,2014-02-24
8442,13,30,63,2013-09-04
7386,12,43,83,2013-04-22
7215,29,1135,69,2013-03-12
1491,17,559,87,2013-02-18
11071,17,1923,37,2013-04-21
3381,14,90,51,2014-06-08
8268,23,404,23,2013-07-11
11051,27,661,72,2014-05-10
8026,24,463,10,2013-09-30
433,31,632,42,2013-03-10
9597,23,725,10,2014-02-10
1295,23,725,96,2013-08-11
5290,24,279,51,2013-08-14
1685,26,1482,21,2013-03-17
5342,14,29,31,2012-08-08
9579,17,106,61,2013-07-07
7660,11,49,37,2014-05-19
1461,14,38,74,2013-07-28
821,24,2077,46,2012-10-19
11084,24,1053,4,2013-11-14
8690,25,1385,73,2013-04-19
2937,31,871,47,2013-08-28
9701,19,312,13,2013-03-19
9949,23,877,36,2012-10-18
10837,12,68,47,2012-10-28
3120,12,22,49,2013-08-28
5885,24,211,94,2012-08-22
4050,11,127,65,2014-06-21
3830,19,459,59,2014-04-24
7987,25,460,96,2014-03-07
7798,24,429,28,2012-12-14
92,17,89,12,2014-05-12
7055,31,1021,57,2012-10-09
10240,25,1381,10,2013-02-19
3025,22,306,4,2013-07-08
9283,8,18,49,2013-09-12
9970,11,162,3,2013-10-17
2730,19,1231,64,2013-08-20
2795,11,13,0,2013-07-01
9260,33,1706,20,2012-11-05
8182,19,121,91,2014-01-05
10095,22,1293,9,2013-05-01
8475,37,1608,98,2014-03-01
4370,15,88,83,2013-11-13
10573,21,421,27,2013-11-18
3712,16,259,63,2013-08-28
6637,16,1117,46,2013-11-02
3152,14,89,84,2014-02-25
5610,13,36,58,2014-04-21
6460,15,57,78,2013-07-13
1349,14,148,4,2014-04-21
1880,13,93,17,2014-01-30
641,11,119,77,2014-04-04
8717,33,1835,56,2012-09-12
10314,29,1318,79,2012-12-16
10854,14,45,90,2014-05-23
10492,6,10,96,2014-06-24
6935,27,978,44,2013-12-01
7698,15,191,81,2014-05-11
3559,15,57,77,2014-05-10
10562,26,1033,21,2013-09-28
10796,12,66,16,2014-01-22
2563,12,43,80,2014-06-15
3518,14,50,45,2012-12-05
5823,12,39,63,2014-03-08
3934,23,608,34,2013-08-02
6982,26,1581,14,2013-03-19
6431,14,68,13,2013-02-23
9733,11,80,52,2012-09-09
5602,31,1282,98,2013-05-17
7829,11,65,99,2013-09-26
1324,16,91,93,2013-05-30
326,22,315,38,2013-02-18
7224,14,31,24,2013-12-29
6999,26,834,80,2014-05-13
9938,19,1600,82,2013-09-19
6422,19,1270,20,2013-01-17
3182,23,263,81,2014-03-31
7300,24,535,50,2014-06-29
10424,19,1295,60,2013-12-09
8727,35,1150,63,2013-10-14
2798,30,1240,54,2012-11-02
1030,13,38,72,2013-07-17
624,10,35,5,2012-11-10
5176,14,53,88,2013-12-08
5552,23,293,50,2013-05-13
868,12,65,99,2014-06-08
380,37,1804,17,2012-09-10
2677,19,241,11,2013-03-31
6521,21,1101,18,2014-03-18
6927,27,264,70,2012-10-05
2877,33,541,21,2013-01-21
0,18,1198,66,2013-05-04
1584,28,482,79,2014-04-01
7264,12,17,2,2014-05-12
6274,28,1615,81,2013-11-15
1377,19,285,24,2013-08-31
454,34,1135,48,2012-11-14
1755,10,114,93,2014-04-11
2075,17,1047,56,2013-11-14
4785,25,714,3,2014-04-14
9076,21,185,44,2013-01-05
7079,38,1245,38,2012-09-08
4653,20,189,46,2013-03-26
7375,24,576,84,2012-10-25
709,26,1103,27,2012-12-09
460,19,1753,72,2012-08-08
3726,12,17,66,2014-02-16
6798,30,433,30,2013-03-20
5341,21,1588,2,2013-01-05
1606,12,22,65,2013-05-15
9617,8,19,37,2014-04-16
3233,34,1117,89,2013-03-23
89,14,69,49,2013-12-09
2936,12,23,46,2013-12-04
9449,22,605,32,2013-10-04
7297,18,57,54,2013-12-26
11004,8,22,23,2014-05-17
313,25,2088,98,2013-10-28
9940,19,1009,97,2012-12-23
10735,14,26,75,2013-07-31
9529,24,1627,8,2013-11-28
6439,38,1102,37,2012-08-17
7411,12,17,31,2014-06-05
2176,22,1690,40,2013-05-20
9265,26,1390,74,2013-01-09
8867,23,2126,90,2012-08-31
8932,31,1531,57,2012-10-29
10236,15,64,59,2013-09-16
6340,12,26,52,2013-10-27
10089,31,1112,5,2013-04-05
2227,17,210,92,2012-09-22
10992,34,1148,77,2012-08-29
5304,12,33,35,2012-10-13
309,25,1101,48,2012-10-16
3406,19,322,97,2012-10-22
2661,15,44,95,2013-06-04
3153,12,17,24,2013-12-08
10264,13,31,60,2012-10-10
1184,30,845,46,2013-05-22
4200,20,275,85,2014-06-17
9396,13,25,31,2012-11-23
2387,25,275,9,2013-02-03
6690,18,90,30,2013-03-14
1225,20,1495,47,2014-06-26
9703,18,184,70,2012-10-15
291,14,981,13,2013-06-19
4557,14,67,11,2013-10-04
2379,21,1635,31,2012-09-22
5726,15,60,15,2014-03-20
3066,17,231,2,2014-02-04
6336,16,48,55,2014-04-06
10967,16,99,38,2013-02-06
2304,27,770,86,2013-09-16
3445,28,957,56,2013-01-17
7828,13,818,29,2014-04-30
3762,18,925,30,2013-04-02
4391,28,908,64,2013-04-21
4669,17,102,46,2013-02-11
10144,24,576,84,2012-10-25
8652,20,317,20,2012-08-31
1672,17,461,74,2014-03-01
8962,12,37,18,2014-04-17
9974,14,70,75,2013-07-12
10983,26,930,17,2013-01-29
8148,38,859,88,2013-01-08
10102,25,1478,19,2014-05-12
4697,24,390,62,2013-06-13
9262,12,52,11,2013-07-04
7254,17,137,74,2013-12-27
4543,23,1919,32,2012-10-31
4927,18,68,76,2014-01-15
10451,10,25,6,2013-03-12
2926,31,1374,62,2012-08-23
2874,12,32,20,2013-03-07
9738,15,100,43,2013-01-13
7119,13,825,45,2013-01-12
3924,33,916,34,2014-03-17
5827,16,62,53,2014-04-16
5596,27,728,44,2013-10-12
10812,11,90,89,2014-03-01
1717,21,273,43,2014-04-13
9491,17,66,68,2013-12-27
9274,25,1213,44,2013-03-28
6609,16,107,64,2012-09-18
6963,19,1157,85,2014-03-05
4440,25,546,93,2013-09-10
1379,15,241,12,2013-04-27
10032,17,53,86,2014-01-18
2826,14,37,28,2013-10-28
2437,27,1611,69,2013-06-03
6320,26,1508,42,2013-02-06
3050,20,235,13,2013-12-17
231,12,32,86,2014-03-11
2392,15,102,59,2013-07-29
9478,18,401,30,2012-08-14
113,11,28,33,2013-07-16
2863,28,1052,67,2013-08-23
1802,23,680,23,2013-01-17
520,11,30,81,2013-07-01
8275,11,20,6,2014-02-09
9750,30,1307,41,2013-02-07
2607,32,630,78,2013-01-11
7214,21,1283,49,2013-07-05
5835,17,65,39,2013-07-02
3896,12,37,3,2013-11-07
10350,9,38,37,2013-05-09
7786,20,160,22,2013-02-13
2861,12,23,79,2013-04-16
663,10,71,46,2013-09-11
10675,24,1161,82,2013-04-03
2521,12,59,10,2013-01-10
9592,15,33,51,2013-06-30
10151,25,946,38,2012-09-12
7381,26,1442,10,2012-12-06
4099,13,62,14,2012-11-12
9560,25,1674,18,2013-03-03
1150,16,1853,36,2013-09-26
10172,24,1538,95,2012-08-10
11191,14,139,11,2013-12-07
9707,28,1182,65,2012-11-23
6245,21,507,71,2013-06-13
8234,12,18,13,2013-08-15
1411,17,940,58,2013-11-10
8553,12,42,65,2013-06-23
1826,16,1190,0,2014-06-16
8842,15,44,33,2012-12-25
11030,10,16,90,2014-01-03
2579,30,835,95,2013-12-17
175,26,1443,93,2013-01-10
9185,21,1029,38,2013-10-28
11056,19,1188,18,2012-10-27
9365,30,1277,57,2012-12-22
6201,14,49,45,2013-11-29
2061,13,99,61,2013-05-11
6184,16,1670,6,2012-12-12
6142,16,900,65,2013-08-20
4107,21,425,52,2013-10-08
7274,24,2153,87,2012-09-28
9336,25,636,38,2014-03-22
2958,14,57,53,2014-02-24
933,13,25,31,2012-11-23
5837,29,494,67,2012-12-28
10704,23,693,65,2012-08-21
5125,28,1348,64,2013-05-17
4432,14,51,82,2013-03-16
5955,19,1932,27,2012-11-17
2928,24,990,63,2012-12-01
5680,11,30,66,2014-04-22
10313,24,254,69,2012-10-28
2557,9,29,52,2013-08-29
1245,31,1371,45,2012-11-11
1519,17,73,2,2013-06-22
10703,19,120,86,2012-08-18
1726,14,81,23,2013-03-18
4459,13,37,13,2012-12-30
1729,26,1377,14,2013-10-02
1517,12,51,92,2013-06-14
2098,12,17,38,2013-01-08
9543,11,22,74,2013-11-14
6878,21,324,14,2012-12-12
3310,24,211,94,2012-08-22
2724,7,19,33,2014-03-30
948,13,41,32,2013-05-15
6720,24,492,11,2013-10-16
6202,28,1005,78,2012-10-05
2066,13,114,56,2012-08-30
9799,24,1173,57,2013-05-08
8318,20,1738,7,2014-01-03
5642,16,222,0,2013-12-09
2669,18,1127,66,2014-05-04
455,16,209,86,2013-04-18
7683,26,787,80,2014-02-25
3428,26,1598,56,2013-10-06
7414,20,186,18,2012-09-15
6354,14,47,51,2012-08-31
798,12,27,71,2012-12-24
8213,18,96,71,2012-11-09
2488,16,64,80,2013-03-23
9999,28,1040,2,2012-09-27
7617,18,163,83,2013-08-15
615,18,343,29,2013-03-11
2552,31,446,11,2013-10-22
194,11,41,55,2014-06-09
3645,17,70,19,2012-08-30
8890,20,272,1,2014-05-30
5049,15,46,19,2013-06-06
9973,26,490,28,2012-10-17
7301,16,79,76,2012-11-17
10882,21,915,50,2012-11-09
7030,41,1485,1,2013-03-30
7422,23,369,90,2012-08-22
3523,22,1073,83,2013-01-23
7106,20,1242,73,2014-03-31
6504,14,78,24,2013-11-20
5067,26,1378,11,2014-02-14
4216,29,1474,33,2013-02-22
8581,37,751,4,2013-03-05
5929,14,48,14,2014-05-06
3129,12,45,30,2014-05-22
6528,12,10,75,2014-06-05
1361,17,1435,26,2013-06-04
6932,24,2119,77,2013-04-13
7284,12,20,8,2013-12-04
1340,28,1795,42,2014-04-24
8746,25,1188,28,2014-04-05
5987,12,43,52,2014-05-04
3767,27,1008,1,2013-04-25
3725,20,1688,1,2013-05-09
4324,29,684,42,2012-10-29
238,46,1082,76,2013-01-23
6694,29,1068,27,2013-11-25
498,12,57,28,2014-02-02
9347,10,46,49,2013-06-21
9699,28,733,12,2013-12-21
10664,25,467,14,2013-09-07
5455,17,122,89,2013-08-22
456,15,36,96,2013-02-07
5012,13,34,56,2013-07-04
7495,14,156,72,2013-12-20
5029,9,14,14,2013-08-06
10642,13,37,13,2012-12-30
2106,13,34,99,2014-03-17
10364,12,20,72,2013-07-13
5954,19,192,92,2013-10-09
1137,18,1379,87,2013-12-29
2541,15,48,7,2013-06-09
1142,19,428,91,2013-12-22
2276,30,868,71,2013-05-02
2807,34,1001,24,2013-02-16
6471,12,59,17,2013-10-17
6131,19,431,87,2013-12-01
6233,34,971,21,2012-09-07
4148,27,348,90,2012-08-20
4947,28,2059,44,2012-09-15
3225,20,265,71,2013-04-01
7540,15,270,52,2014-05-25
10648,22,1289,78,2012-09-25
1992,23,893,2,2014-01-01
7851,23,926,60,2013-09-22
8594,15,135,25,2014-01-28
7059,20,1495,47,2014-06-26
2815,16,120,46,2014-02-24
2416,21,1288,83,2014-03-03
7999,19,1743,17,2013-04-23
9213,12,15,13,2012-10-31
9697,26,542,86,2014-03-06
3916,32,890,92,2012-08-15
2021,37,1388,47,2013-03-27
1581,12,17,18,2013-10-10
564,36,906,81,2012-08-04
6619,13,44,91,2013-01-02
9081,10,25,58,2014-05-18
178,31,973,40,2013-02-18
916,9,31,67,2014-05-09
5512,22,518,19,2014-05-23
8970,24,530,93,2012-10-23
10581,29,506,41,2012-10-31
5300,13,70,60,2013-12-30
5154,12,54,54,2013-08-11
8346,21,296,26,2012-08-19
1676,20,266,30,2013-10-30
9286,22,747,93,2012-10-10
2426,32,895,35,2012-09-14
5172,24,1053,4,2013-11-14
5562,27,735,92,2013-06-26
3436,12,20,24,2014-01-26
3921,18,205,96,2012-10-28
3403,27,2092,11,2012-09-24
22,22,309,99,2012-12-03
10965,28,1722,72,2013-02-22
9426,23,900,77,2013-01-12
6605,27,682,85,2013-11-27
3136,27,663,88,2013-04-13
8737,9,43,22,2014-04-05
11088,24,1816,83,2013-04-21
716,30,976,63,2014-05-22
466,23,746,9,2013-04-03
9135,14,64,92,2012-08-06
10623,10,32,2,2013-11-15
8151,17,263,6,2012-12-29
5140,29,1445,66,2012-08-24
10160,10,46,49,2013-06-21
4945,34,1210,29,2012-11-07
10584,27,945,77,2013-12-02
6071,23,1157,77,2013-07-19
3386,15,137,71,2013-06-21
8939,30,730,49,2012-12-16
9925,19,216,97,2013-05-25
4320,26,943,6,2013-03-28
5389,23,347,93,2013-10-20
6036,20,1924,78,2014-03-17
182,25,397,62,2013-05-11
203,24,2089,47,2013-04-14
11025,19,138,9,2013-02-03
10203,12,42,77,2013-06-30
4607,19,777,24,2013-08-23
3711,23,1902,19,2014-03-01
3696,14,52,67,2014-01-27
2532,18,1651,95,2014-03-01
9214,18,358,48,2013-08-16
4943,22,1727,73,2012-09-30
35,16,210,35,2012-09-08
2258,13,42,76,2012-12-04
4322,22,1291,20,2013-11-27
713,18,442,72,2014-06-08
4702,25,1895,20,2012-08-12
3281,25,411,69,2013-11-03
702,24,521,80,2013-02-15
2004,18,1168,65,2013-09-18
4769,30,493,52,2014-06-18
4437,16,260,65,2013-04-24
8724,13,46,57,2013-06-17
10741,23,319,70,2013-04-11
1991,12,96,0,2014-01-18
6931,20,1062,19,2014-02-15
11096,14,232,50,2013-08-08
304,16,76,67,2013-12-23
3665,17,54,46,2013-11-07
10591,18,201,37,2012-08-06
5036,20,406,38,2012-11-28
5547,23,1919,9,2013-08-07
7822,23,662,56,2013-06-04
8541,13,41,98,2014-03-08
10955,15,1600,68,2014-01-07
4368,14,134,72,2013-12-03
9671,18,69,47,2014-01-26
2256,12,21,33,2014-03-29
4279,10,54,87,2014-03-31
5371,15,91,0,2014-04-08
9240,24,526,73,2014-02-07
9460,16,162,74,2013-04-18
9504,26,1008,4,2013-11-06
8692,24,240,50,2012-09-12
448,26,795,57,2013-03-01
8314,21,1772,30,2013-04-05
8420,13,64,27,2013-08-03
3174,26,1957,61,2013-05-22
7685,12,78,4,2013-09-09
3179,21,1572,75,2013-06-16
9780,30,795,12,2013-06-25
10681,30,889,13,2014-01-15
10232,18,331,9,2013-11-05
4184,16,265,48,2014-06-07
9120,27,1065,80,2012-12-05
891,9,11,60,2013-09-07
10381,10,21,43,2013-07-05
3525,11,17,19,2012-12-07
6818,22,369,26,2012-09-12
3526,13,38,58,2014-01-27
8181,19,177,42,2013-09-13
1029,17,279,27,2013-08-01
7369,15,62,56,2013-10-02
2574,26,1230,27,2013-01-31
8159,18,182,10,2014-04-01
1160,18,49,48,2013-08-23
10242,13,75,39,2013-09-16
5253,23,227,85,2013-07-09
5966,21,215,64,2012-11-10
5314,28,444,69,2013-03-18
5081,13,47,54,2013-10-20
5123,14,143,57,2013-04-15
5756,13,55,64,2014-04-03
8036,15,63,10,2014-04-18
9058,25,1867,65,2012-09-23
5057,22,611,74,2013-09-14
254,25,473,4,2014-05-17
4179,10,55,94,2013-08-20
3710,14,81,41,2012-10-12
7627,23,2086,25,2012-12-12
4501,21,1478,94,2013-11-10
6424,9,49,9,2014-01-30
3075,16,382,47,2013-09-11
4992,16,69,12,2013-09-19
5252,13,67,80,2012-10-26
7444,14,30,20,2013-10-19
6919,15,63,39,2013-06-04
3537,18,79,57,2012-08-17
10277,12,42,27,2013-02-21
2453,28,819,83,2012-08-31
7972,18,1151,79,2013-09-17
895,25,594,69,2012-12-09
1177,18,129,77,2013-01-26
7141,22,213,15,2012-12-29
7232,12,67,99,2014-02-11
8477,12,28,61,2013-03-11
2457,13,45,23,2012-10-26
988,21,1193,84,2014-05-07
7930,18,268,74,2013-08-19
4587,15,266,90,2013-07-18
6682,13,37,41,2012-12-11
6222,14,37,28,2013-10-28
10299,30,882,73,2012-11-09
3083,25,373,88,2013-07-26
8953,14,35,94,2013-05-06
1503,2,107,31,2013-06-03
8650,9,42,31,2013-03-18
10862,19,326,6,2012-08-17
2782,23,404,23,2013-07-11
6941,13,95,92,2013-07-14
10972,15,939,52,2014-03-10
10708,12,33,50,2013-12-28
6583,24,981,54,2013-06-03
3641,13,36,93,2013-01-20
10156,23,1237,56,2013-06-03
4299,41,1825,28,2012-09-21
3469,18,103,94,2012-09-06
5063,21,191,76,2012-12-18
10727,33,1586,43,2013-11-19
9624,15,963,46,2014-06-13
5156,30,889,13,2014-01-15
4376,14,93,27,2014-02-15
8923,24,1587,12,2013-04-18
8461,11,16,3,2014-03-10
6945,37,1375,72,2013-06-04
944,18,393,6,2013-01-08
1907,33,1477,53,2012-09-28
701,20,1179,58,2013-11-06
3856,28,1005,78,2012-10-05
4149,23,1348,57,2014-05-13
2131,29,1307,37,2012-12-30
2942,20,486,20,2013-05-07
1173,15,2252,73,2013-03-10
4381,23,235,56,2013-08-18
4611,33,1724,36,2013-01-21
3376,15,235,9,2013-12-13
4679,32,1092,42,2014-05-23
10928,22,599,28,2013-09-16
4248,20,2008,23,2014-02-17
6728,15,48,38,2012-08-27
6661,38,1174,63,2012-08-12
4725,9,67,71,2014-04-13
3277,23,365,9,2012-08-03
5555,0,6,81,2014-02-07
2564,16,165,87,2014-01-04
946,17,210,92,2012-09-22
3867,30,1095,36,2013-08-31
6940,18,223,86,2013-10-21
55,28,597,83,2012-12-07
7093,11,22,74,2013-11-14
5084,28,1064,87,2013-12-25
1777,14,74,29,2012-09-07
8162,11,26,88,2013-01-01
10826,13,60,77,2012-12-28
8754,11,20,25,2013-05-16
1987,13,59,34,2013-09-25
11007,13,34,43,2013-05-09
7426,15,198,76,2013-11-07
9153,33,1048,81,2013-07-29
10379,27,574,87,2013-11-08
9204,20,1029,33,2012-09-12
3197,24,670,38,2013-12-16
2920,24,990,63,2012-12-01
6961,12,11,26,2014-05-22
4673,26,1241,17,2012-10-30
9937,18,576,75,2014-01-02
8779,21,172,13,2013-06-16
9596,22,664,19,2013-12-23
2891,29,928,51,2013-10-18
4910,37,2074,81,2012-08-30
75,23,467,32,2013-07-25
10120,17,257,84,2013-10-24
6327,18,1146,87,2013-12-19
10142,24,689,99,2013-03-07
9826,24,2114,96,2012-09-12
1501,44,1717,21,2012-08-04
10767,22,1346,40,2014-05-16
7279,17,1044,3,2013-09-30
7230,28,493,98,2012-10-04
143,15,957,73,2013-08-25
450,15,270,90,2013-07-12
9316,11,29,29,2013-11-02
6379,16,121,3,2013-05-29
9239,11,126,94,2013-07-26
8315,10,23,65,2014-03-26
2868,16,57,33,2013-04-08
10888,26,636,46,2013-11-03
1277,32,1004,29,2014-04-09
9977,24,734,99,2013-09-17
10196,24,614,26,2014-03-12
6384,29,1453,30,2014-02-11
8029,16,1621,27,2014-04-29
968,19,187,24,2013-12-26
6988,26,1443,93,2013-01-10
4472,8,57,34,2014-06-27
6991,28,637,88,2013-04-10
3336,21,948,96,2013-11-21
4301,12,59,10,2013-01-10
1940,12,18,26,2013-07-12
1272,31,903,49,2012-10-21
1388,14,112,11,2013-02-20
1044,24,596,44,2013-05-14
6969,20,233,75,2013-08-07
10479,12,1511,64,2012-12-07
3619,19,1152,19,2012-09-23
1715,14,48,45,2013-02-11
10159,37,1185,77,2013-03-31
1463,11,21,9,2014-03-29
5114,20,965,1,2012-12-19
4990,28,869,90,2013-05-02
4329,13,16,43,2014-05-23
10936,19,1947,79,2013-02-13
4692,21,71,19,2012-08-01
7212,12,65,99,2014-06-08
6086,26,1380,62,2013-11-23
437,24,1027,41,2014-01-25
11171,28,411,60,2013-10-11
11101,30,836,17,2013-04-15
5329,9,11,24,2013-09-27
610,31,480,60,2012-08-07
9384,26,606,57,2013-06-12
5956,24,284,74,2013-10-16
10430,19,1472,22,2013-10-09
7875,28,1677,46,2014-04-29
7072,23,1335,69,2013-03-29
6255,15,334,29,2014-06-03
6516,11,18,37,2013-03-18
5564,24,1338,26,2012-08-09
5682,35,1099,8,2013-03-23
7458,16,97,26,2013-03-06
5237,14,63,79,2014-01-01
7761,15,109,71,2013-08-01
5278,24,902,83,2014-01-25
3560,21,1574,57,2013-05-12
7235,14,38,37,2013-12-09
10548,25,960,30,2014-03-09
2281,11,28,34,2013-09-15
4073,34,1215,0,2014-01-29
6974,24,1497,89,2013-12-31
7938,20,449,92,2013-10-03
7094,28,1064,87,2013-12-25
3667,33,1757,20,2013-02-28
7723,24,1440,56,2014-05-02
3870,28,1006,28,2013-02-09
4012,29,1226,55,2012-08-11
5909,28,1171,25,2013-09-19
10470,12,92,0,2013-03-15
6488,13,99,86,2014-04-06
10270,15,66,8,2013-10-03
6887,25,564,33,2014-04-24
6406,24,1427,13,2013-10-28
7573,13,86,12,2013-05-10
4508,20,833,92,2014-05-22
221,18,242,90,2013-04-27
5331,19,1869,8,2012-09-11
1911,35,1364,6,2012-09-05
20,12,183,91,2013-09-01
8786,24,450,52,2013-05-26
10582,23,758,3,2013-07-03
1915,23,1507,57,2013-12-12
8897,33,654,9,2013-04-24
2371,16,81,22,2013-04-13
4303,21,137,76,2012-12-08
6825,11,16,86,2013-03-06
1072,14,93,64,2013-08-30
4964,19,1158,90,2014-01-26
2461,9,43,79,2013-12-18
10736,24,1525,28,2013-09-12
3194,20,1230,86,2014-04-05
10839,10,29,42,2014-04-14
49,12,25,39,2014-05-11
4290,11,24,8,2014-03-19
10219,13,38,40,2013-06-18
4211,14,57,5,2012-10-29
1135,19,47,96,2014-02-15
6299,31,813,28,2013-01-02
10846,29,629,22,2014-05-29
347,26,377,30,2012-09-08
6543,16,1612,45,2013-01-15
10446,19,729,58,2012-11-07
3479,13,50,49,2013-07-19
11075,19,270,37,2013-10-29
4442,12,177,70,2013-04-05
199,20,315,33,2013-01-20
6722,29,767,98,2014-06-28
796,34,1071,17,2012-10-23
3749,27,1580,54,2013-03-02
8523,18,60,39,2013-12-14
310,25,573,81,2013-12-13
8629,10,41,71,2013-03-26
236,16,170,62,2013-01-19
9930,30,1167,8,2013-11-05
3483,33,1526,76,2013-04-06
4599,28,458,66,2013-11-04
7326,8,63,83,2014-03-23
7352,20,405,28,2013-10-21
2350,28,1027,87,2013-03-22
9145,24,1478,43,2013-04-06
2964,11,72,0,2013-10-16
5585,15,48,1,2013-04-20
9687,18,726,1,2014-05-31
3732,31,860,72,2013-02-04
6303,23,1497,72,2013-11-23
11176,21,495,12,2014-05-12
2986,10,20,89,2014-03-12
7462,28,570,67,2012-11-24
3900,26,769,54,2014-03-29
7034,15,55,34,2013-09-01
9493,21,1808,15,2013-05-05
1143,14,55,43,2013-08-08
1,23,577,0,2014-06-15
3855,16,162,74,2013-04-18
5536,26,1957,61,2013-05-22
5989,32,1576,51,2013-04-16
9499,22,1616,97,2013-05-07
6768,14,36,75,2013-01-12
2150,26,1482,83,2013-05-11
6646,11,22,23,2014-03-01
4887,11,63,65,2013-11-22
8560,24,680,94,2012-09-10
3321,25,542,42,2013-05-05
11003,14,50,10,2013-10-02
10402,14,39,94,2013-02-14
9904,31,1043,50,2013-03-29
6141,21,385,46,2013-04-25
5687,30,1633,98,2012-09-23
10856,11,46,42,2013-07-02
5121,25,761,30,2014-03-21
4186,14,76,11,2013-08-05
368,19,290,61,2012-11-29
3312,17,89,12,2014-05-12
11121,20,70,76,2012-11-10
5332,18,1066,2,2013-07-27
5848,21,2009,43,2014-01-13
10343,22,1345,27,2012-09-29
5935,28,764,60,2012-12-24
2895,16,195,79,2013-10-23
10262,16,53,96,2013-05-10
7848,19,368,17,2013-06-13
9477,24,544,0,2014-01-11
4856,28,1853,38,2012-11-06
7186,11,35,43,2014-05-26
5794,26,446,1,2014-03-17
1456,38,1180,25,2013-04-01
4877,12,41,2,2014-03-04
425,27,727,66,2013-02-19
3007,14,40,49,2012-10-04
1031,28,1062,5,2013-05-05
4297,15,40,71,2014-01-26
807,25,292,35,2014-02-15
